municipio,tipo,lugar,coordenadas,imagen,descripcion,img_url
Mizque,Sitios naturales,Cañón del K’uri,"-17.841765, -65.463245",c_kuri.jpg,"El Puente de Los Libertadores no es el único atractivo, también está el mismo cañón del K’uri, cuya profundidad de unos 80 metros lo convierte en un magnífico atractivo natural geológico.",https://labtecnosocial.org/cocha-turismo/c_kuri.jpg
Sacaba,Sitios naturales,Cañon Tuta Wallpa,"-17.0146855, -65.9806895",tuta_wallpa.jpg,"El cañón de Tuta Wallpa, una belleza escondida en la región subtropical de Cochabamba que refugia, en las entrañas de la montaña, agua frenética y guácharos.  ",https://labtecnosocial.org/cocha-turismo/tuta_wallpa.jpg
Villa Rivero,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Casa de Gualberto Villarroel,"-17.609781967468244, -65.8228351780289",Casa_GVillarroel.jpg,"La histórica casa del notable militar, político y presidente de Bolivia, Gualberto Villarroel López (1908-1946), está deteriorada y se ha convertido en un almacén de herramientas de la Alcaldía de Villa Rivero, después de haber sido refaccionada con materiales distintos a los originales y de haberse modificado el uso de algunos ambientes.",https://labtecnosocial.org/cocha-turismo/Casa_GVillarroel.jpg
Vacas,Sitios naturales,Cascada de Toro Huarkhu,"-17.635478, -65.514199",Toro huarco.jpg,"Toro Warkhu tiene una caída de aproximadamente 80 metros. el agua es como una mantilla blanca, que cae entre riscos y vegetación y se deposita en pequeñas lagunas de aguas diáfanas.",https://labtecnosocial.org/cocha-turismo/Toro huarco.jpg
Tiquipaya,Sitios naturales,Cascadas gemelas de Apote,"-17.303818, -66.246977",cascadas_apote.jpg,Las cascadas gemelas caen desde una altura de 20 a 25 metros en una poza cristalina que invita a bañarse.,https://labtecnosocial.org/cocha-turismo/cascadas_apote.jpg
Anzaldo,Sitios naturales,Cavidades continentales del Caine,"-17.972915, -65.850134",cav_anzaldo.jpeg,"Esta zona comprende cuencas del borde continental y las cavidades continentales cerradas de paleozoico y mesozoico, donde se ubican muchas canteras de caliza, yeso y minerales utilizados en pequeña escala.",https://labtecnosocial.org/cocha-turismo/cav_anzaldo.jpeg
Tiraque,Sitios naturales,Ch ’ejta Rumi,"-17.410656, -65.714535",chejta_rumi.jpg,"Ch’ejta   Rumi,   más   conocida   como   la   “Piedra   del   Inca”,   es   una   roca   de   grandesproporciones que parece partida por un rayo.En la base de esta roca se creó una cueva subterránea, a la cual ingresan algunoshabitantes, los primeros viernes de mes para k’oar",https://labtecnosocial.org/cocha-turismo/chejta_rumi.jpg
Cochabamba,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Colina de San Sebastián,"-17.405123, -66.160835",colina-de-san-sebastian.jpg,"La Colina de San Sebastián se encuentra ubicado muy cerca de la Terminal de Buses, en esta colina se encuentra el monumento de las Heroínas de la Coronilla, el Paseo de Los Héroes y el Monumento a las Armas, estos fueron declarados «Sitio de Interés Histórico, Cultural y Nacional» en homenaje a los 200 años de la Batalla de las Heroínas que se registró el 27 de mayo de 1812.
El monumento a las Heroínas de la Coronilla, fue esculpida en bronce en 1922, este representa simbólicamente la participación de un grupo de valerosas mujeres que resistieron a las tropas del General Goyeneche, durante la guerra de la independencia.",https://labtecnosocial.org/cocha-turismo/colina-de-san-sebastian.jpg
Pocona,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Complejo Arqueológico de Incallajta,"-17.604846, -65.415116",incallajta.jpg,"Ubicada en el municipio de Pocona, la fortaleza de Incallajta es un conjunto de edificaciones construidas en una superficie de aproximadamente 12 hectáreas.
Por referencia de cronistas españoles, se sabe que Incallajta fue mandada a construir entre 1463 y 1472 por Inca Tupac Yupanki habiendo sido invadida y saqueada por los pueblos del oriente (los Chiriguanos). Posteriormente, el inca Huayna Capac en 1525 la mandó a reconstruir.",https://labtecnosocial.org/cocha-turismo/incallajta.jpg
Arani,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Convento de Santa Catalina de Collpa Ciaco,"-17.602037, -65.755714",convento_arani,"El Convento Santa Catalina de Collpaciaco (municipio de Arani), fue construido por los primeros religiosos agustinos en el Alto Perú. Esta, poco conocida, edificación es un valioso ejemplo de arquitectura religiosa del siglo XVI.",https://labtecnosocial.org/cocha-turismo/convento_arani
Cochabamba,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Convento de Santa Teresa,"-17.389354, -66.157994",convento_santa_teresa.jpg,"El Convento Santa Teresa es en la actualidad un monasterio claustro histórico donde vivían las hermanas de la orden Carmelitas Descalzas, devotas a la Virgen del Carmen y de Santa Teresa de Jesús.",https://labtecnosocial.org/cocha-turismo/convento_santa_teresa.jpg
Colomi,Sitios naturales,Corani,"-17,2294304, -65,8916378",corani.jpg,"La laguna Corani es una laguna artificial de Bolivia. Administrativamente se encuentra en el municipio de Colomi de la provincia del Chapare en el departamento de Cochabamba. Presenta una forma alargada de norte a sur, es una importante zona de criadero de peces de la cual viven todas las comunidades asentadas en sus orillas.",https://labtecnosocial.org/cocha-turismo/corani.jpg
Cochabamba,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Cristo de la Concordia,"-17.384382, -66.135009",Cristo_de_la_Concordia.jpg,"El Cristo de la Concordia es una estatua monumental de Jesucristo, que se encuentra sobre el cerro de San Pedro en la ciudad de Cochabamba, Bolivia, a una altura de 265 metros sobre la ciudad. La estatua mide 34,20 metros de altura, sobre un pedestal de 6,24 metros, con una altura total de 40,44 m.",https://labtecnosocial.org/cocha-turismo/Cristo_de_la_Concordia.jpg
Anzaldo,Sitios naturales,Huellas y restos de dinosaurios,"-17.956473296297116, -65.89742794680046",huellas_dino_anzaldo.jpg,"Hace tres años, un deslizamiento de tierra dejó al descubierto huellas de dinosaurios en la localidad de Anzaldo, Cochabamba.",https://labtecnosocial.org/cocha-turismo/huellas_dino_anzaldo.jpg
Villa Tunari,Sitios naturales,Incachaca,"-17,2371770, -65,8170738",incachaca.jpg,"Incachaca es una zona arqueológica de la época incaica ubicado en el municipio de Colomi del departamento de Cochabamba en el centro de Bolivia. En este sitio se encuentran construcciones de origen incaico como fuertes, puentes y escalones en las ruinas arqueológicas.",https://labtecnosocial.org/cocha-turismo/incachaca.jpg
V. Gualberto Villarroel,Sitios naturales,Inka perkha,"-17.6615593632961, -65.7664873332898",inca_perkha_cuchumuel.jpg,"Los principales atractivos se centran en el sitio arqueológico de Inca Perkha y las pozas de aguas cristalinas del río Lajas Mayu. El primero es un sitio arqueológico construido por los incas en su incursión a estos valles; y el segundo, un espacio natural creado por la madre naturaleza.",https://labtecnosocial.org/cocha-turismo/inca_perkha_cuchumuel.jpg
Tapacarí,Sitios naturales,Kalistia,"-17.532610, -66.733690",kalistia.png,Desmesuradas formaciones rocosas de color rosado y naranja que se desparraman entre praderas verdes como esmeralda.,https://labtecnosocial.org/cocha-turismo/kalistia.png
Santivañez,Sitios naturales,La cascada y poza “El Dique”,"-17.57019892486133, -66.25638842962414",Dique.jpg,,https://labtecnosocial.org/cocha-turismo/Dique.jpg
Cocapata,Sitios naturales,Laguna Cajas,"-17.040530947414105, -66.56113961696941",laguna_cajas.jpg,"Es una localidad en Departamento de Cochabamba. Laguna Cajas está situada al sur de Laguna Iscay Khocha, y al norte de Lagunas Carmen.",https://labtecnosocial.org/cocha-turismo/laguna_cajas.jpg
Villa Tunari,Sitios naturales,Laguna Paraíso,"-17.254592, -65.817123",laguna_paraiso.jpg,"Rodeada de montañas, bosques tropicales y exuberante fauna en el Km. 130 carretera Cochabamba – Santa Cruz en la población de Cristal Mayu a una altura de 250 m.s.n.m. con una temperatura promedio de 20 a 35 grados centígrados y fuerte precipitación pluvial, se encuentra ubicado el ingreso la Laguna Paraiso. Un sendero de piedras con barandas de bambú desemboca en la laguna de aguas verdes, coloración del agua debido a la increíble vegetación que rodea el lugar.",https://labtecnosocial.org/cocha-turismo/laguna_paraiso.jpg
Sacaba,Sitios naturales,Laguna San Isidro,"-17.407662, -65.896437",san isidro.jpg,"La laguna San Isidro es el principal atractivo del parque, en sus aguas cristalinas, conviven especies de peces como el pejerrey, cuyo tamaño por lo general oscila entre los 25 a 30 centímetro",https://labtecnosocial.org/cocha-turismo/san isidro.jpg
Bolivar,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Loco Loco y Tijraskha,"-17.957628, -66.536903",loco_loco.jpg,"En medio de una cadena de piedras imponentes que denotan el escenario ideal para la escalada se encuentra la ciudad petrificada Tijraskha de la población de Bolívar en Cochabamba.
Como también las pinturas rupestres de Loko Lokoni son el fiel testimonio de que en el sector habitaron culturas precolombinas.",https://labtecnosocial.org/cocha-turismo/loco_loco.jpg
Shinahota,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Majo Pampa,"-17.033081, -65.362728",majo_pampa.jpg,"Majo Pampa A es un pueblo en Departamento de Cochabamba y tiene alrededor de 248 habitantes. Majo Pampa A está situada al noreste de Majo Pampa B, y al suroeste de Alto San Isidro - Disperso.",https://labtecnosocial.org/cocha-turismo/majo_pampa.jpg
Quillacollo,Sitios naturales,Misicuni,"-17.121233, -66.327860",misicuni.jpg,"La represa Misicuni construido en el cause del río Misicuni. El dique desvía agua del río Misicuni al Valle de Cochabamba para varios propósitos incluido el de proporcionar agua para irrigación y uso de municipal de aguas. Además, la presa tiene asociada una estación de energía hidroeléctrica de 80 MW.",https://labtecnosocial.org/cocha-turismo/misicuni.jpg
Cochabamba,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Museo arqueológico de la UMSS,"-17.39535725919733, -66.15739072078996",museo_umss.jpg,"Fundado en 1951 por el Prof. Dick Edgar Ibarra Grasso, originalmente como Museo Arqueológico y Etnográfico de la UMSS. En 1963, dentro de este Museo, se creó la primera Escuela de Antropología y Arqueología de Bolivia y la tercera de Latinoamérica. En 1980, es elevado al rango de Instituto de Investigaciones Antropológicas y Museo Arqueológico, dependiente de la Dirección de Investigación Científica y Tecnológica y del Vicerrectorado de la Universidad Mayor de San Simón.",https://labtecnosocial.org/cocha-turismo/museo_umss.jpg
Cochabamba,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Museo de historia natural D’orbigni,"-17.373561, -66.153397",museo_dorbigni.jpg,"El museo lleva el nombre del famoso naturalista francés Alcide d’Orbigny, quien en 1826 comenzó un viaje de exploración de América Meridional que incluyó Bolivia y duró ocho años. La publicación de los resultados de este viaje es una monumental obra de nueve tomos y miles de ilustraciones, que constituye un referente muy importante para la región en las áreas de botánica, zoología y antropología",https://labtecnosocial.org/cocha-turismo/museo_dorbigni.jpg
Vinto,Sitios naturales,Pairumani,"-17,3446945, -66,3315956",pairumani.jpg,"En 1915, Simón I. Patiño ordenó la elaboración de los primeros planos para su casa de campo, Villa Albina, en las tierras que acababa de adquirir en Pairumani, al pie de la cordillera del Tunari. Movido por el deseo de crear alrededor de esa propiedad una verdadera hacienda agrícola y ganadera, poco a poco fue adquiriendo los terrenos adyacentes para constituir una gran superficie cuya parte central es la Granja Modelo Pairumani tal como se la conoce hoy en día.",https://labtecnosocial.org/cocha-turismo/pairumani.jpg
Cochabamba,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Palacio Portales,"-17.374792, -66.153296",portales.jpg,"El Palacio Portales es un edificio ubicado en la ciudad de Cochabamba, Bolivia. Fue construido entre los años 1915 y 1927 en base en un diseño del arquitecto Eugene Bliault. Concebido como residencia de Simón Iturri Patiño nunca fue habitado por la familia.",https://labtecnosocial.org/cocha-turismo/portales.jpg
Villa Tunari,Sitios naturales,Parque Machía,"-16,9666263, -65,4123328",parque-machia.jpg,"En 1996, con dos monos araña, dos monos capuchinos y un mono ardilla, CIWY estableció el primer santuario de animales silvestres en Bolivia en Parque Machia: Hoy en día, el santuario atiende a más de 400 animales, de más de 20 especies diferentes, incluidas varias que están amenazadas. Machía significa “terreno montañoso” en Yuracaré, la lengua indígena originaria de la zona.",https://labtecnosocial.org/cocha-turismo/parque-machia.jpg
Carrasco,Sitios naturales,Parque Nacional Carrasco,"-17.417545, -65.000950",parque-carrasco.jpg,"El Parque Nacional Carrasco, situado al este de Cochabamba, involucra a los municipios de Puerto Villarroel, Chimoré, Totora, Poona, Tiraque, Villa Tunari y Colomi. El área presenta una gran belleza escénica caracterizada por el relieve montañoso con cañones y valles profundos, ríos torrentosos, caídas de agua y una exuberante vegetación.",https://labtecnosocial.org/cocha-turismo/parque-carrasco.jpg
RMK,Sitios naturales,Parque Nacional Tunari,"-17.247963, -66.333697",parque_tunari.jpg,"El Parque nacional Tunari es un área protegida de Bolivia, ubicado en el oeste del departamento de Cochabamba. Los municipios involucrados son: Morochata, Cochabamba, Quillacollo, Sipe Sipe, Tiquipaya, Vinto, Colcapirhua, Sacaba, Colomi, Villa Tunari y Tapacarí.",https://labtecnosocial.org/cocha-turismo/parque_tunari.jpg
Cochabamba,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Plaza Principal 14 de Septiembre,"-17.393773, -66.157132",plaza-14-de-septiembre.jpg,"Es una plaza ubicada en la ciudad de Cochabamba, Bolivia. Corresponde a la tipología de plaza mayor o de armas, espacios urbanos característicos de los trazados hispanoamericanos, se halla flanqueada por los edificios que representaban el poder estatal y religioso en la ciudad.",https://labtecnosocial.org/cocha-turismo/plaza-14-de-septiembre.jpg
Pocona,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Pueblo de Chimboata,"-17.660936, -65.285150",chimboata.jpg,"Se trata de una comunidad tradicionalmente agrícola que en los últimos decenios se ha visto sometida a las presiones que estrangulan la Economía Campesina y cuya población ha ido progresivamente migrando en busca de mejores oportunidades, tanto al interior del país como al exterior. Las características arquitectónicas y morfológicas del centro poblado han merecido la consideración de algunos estudios que plantean su origen aparentemente colonial y lo reconocen como uno de los poblados cuyas características coloniales no se habrían modificado.",https://labtecnosocial.org/cocha-turismo/chimboata.jpg
Tarata,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Pueblo de Tarata,"-17,6115553, -66,0233779",tarata.jpg,"Hace 7000 años a.C., Tarata era habitada por pueblos recolectores. Además en los alrededores del pueblo de Tarata, se encuentran importantes sitios arqueológicos entre ellos: Aranjuez, Huerta Mayu, Chaguarani, etc., donde quedan restos de una gran cantidad de hornos de cerámica que datan de una producción alfarera masiva.",https://labtecnosocial.org/cocha-turismo/tarata.jpg
Totora,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Pueblo De Totora,"-17.737937, -65.189921",totora-bolivia.jpg,"Totora es una pequeña ciudad a 150 km. Al sur este de Cochabamba posee una riquísima arquitectura colonial, conformada por viejas casas y templos de la época. Debido a la especial topografía de la zona, las calles conservan una distribución atípica, con calles sinuosas, recovecos que le confieren un aspecto de ciudad andina muy propio, considerada por ello una joya arquitectónica a donde acuden los artistas y pintores para encontrar inspiración en sus callejuelas angostas y empinadas, los detalles de sus balcones y la belleza de sus templos religiosos.",https://labtecnosocial.org/cocha-turismo/totora-bolivia.jpg
Quillacollo,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Qollcas de Cotapachi,"-17.440432, -66.287393",c_cotapachi.jpg,"Se trata de un enorme complejo de silos emplazados en tres sectores de la colina para el acopio de maíz que se producía en la zona, siendo el más grande del imperio de los incas, formado por aproximadamente 2.500 qollcas o silos.",https://labtecnosocial.org/cocha-turismo/c_cotapachi.jpg
Cocapata,Sitios naturales,Reserva Natural Altamachi,"-17.033743, -66.433419",altamachi.jpeg,"Con el objeto de fomentar el turismo comunitario - ecoturismo y turismo de aventura en el municipio de Cocapata - en el mes de septiembre se realiza el gran Chaku o arreo de vicuñas en la comunidad de Huaripucara de la region de Altamachi, donde tambien se realizaran actividades turisticas de aventura y visitas a los atractivos turisticos.",https://labtecnosocial.org/cocha-turismo/altamachi.jpeg
Anzaldo,Sitios naturales,Río Caine,"-17,9657589, -65,8639994",rio_caine.jpg,"El río Caine es un río amazónico boliviano, una afluente que forma parte del curso alto del río Grande. El río discurre por el departamento de Cochabamba y departamento de Potosí.",https://labtecnosocial.org/cocha-turismo/rio_caine.jpg
Villa Tunari,Sitios naturales,Río Espíritu Santo,"-16.95619750086878, -65.38671988871013",rio_espiritusanto.jpg,Río Espíritu Santo es un arroyo en Departamento de Cochabamba. Río Espíritu Santo está situada al noroeste de Río San Antonio.,https://labtecnosocial.org/cocha-turismo/rio_espiritusanto.jpg
Aiquile,Sitios naturales,Rio Grande,"-18.193027, -65.173652",rio_grande.jpg,"Paisajes impresionantes sobre el Rio Grande, cerca a un área natural que es refugio de la Paraba de frente Roja y las diferentes especies propias de los valles secos interandinos de Bolivia.",https://labtecnosocial.org/cocha-turismo/rio_grande.jpg
Puerto Villarroel,Sitios naturales,Río Ichilo,"-17.259553, -64.340637",rio_ichilo.jpg,El río Ichilo es un río amazónico boliviano que forma parte del curso alto del río Mamoré. El río discurre entre el departamento de Santa Cruz y el departamento de Cochabamba.,https://labtecnosocial.org/cocha-turismo/rio_ichilo.jpg
Entre Rios,Sitios naturales,Río Ichoa,"-17.143100, -64.455762",rio_ichoa.jpg,Río Ichoa es un arroyo en Departamento de Cochabamba. Río Ichoa está situada al noreste de Arroyo Hondo.,https://labtecnosocial.org/cocha-turismo/rio_ichoa.jpg
Villa Tunari,Sitios naturales,Río San Mateo,"-17.813333, -64.353056",rio_san_mateo.jpeg,"El río San Mateo es un río boliviano de la cuenca del amazonas, pertenece a la cuenca alta del río Mamoré, nace y discurre totalmente por el departamento de Santa Cruz, desemboca en el río Alto Ichilo. Se caracteriza por estar formado por dos brazos y por ser la fuente más alejada del río Mamoré.",https://labtecnosocial.org/cocha-turismo/rio_san_mateo.jpeg
Independencia,Sitios naturales,Sailapata,"-16.917585, -66.943865",sailapata.jpg,"En Sailapata el bosque de neblina se encuentra a una altura entre 2800 - 3500 msnm. Este tipo de bosque generalmente tiene una vegetación de especies latifoliadas cubiertas de epifitas, conformada por especies arbóreas nativas como Podocarpus glomeratus, Cedrela lilloi, Weinmannia micropylla, Ocotea sp, Blepharocalix y otras (Villavicencio 2001).",https://labtecnosocial.org/cocha-turismo/sailapata.jpg
,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Sitio arqueológico Incaraqay,"-17,4800216, -66,3856575",inkarakay.jpg,"El conjunto arqueológico de Inca Rakay, la laguna de Lapiani, el templo colonial de la comunidad de Uchucho, el valle de las rocas y otros espacios forman parte de los principales atractivos que ofrece el municipio de Sipe Sipe, que el pasado 21 de junio fue lanzado como uno de los principales destinos turísticos que tiene el departamento de Cochabamba en el valle bajo.",https://labtecnosocial.org/cocha-turismo/inkarakay.jpg
Independencia,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Sitios Arqueológicos Sacambaya: Muralla y Crestón de Llavecita,"-16.933141, -66.982616",Sacambaya.jpg,"La muralla de Sacambaya es uno de los grandes restos arqueológicos del municipio. Cuenta con 166 metros de longitud y cuatro metros de altura, y se ubica en el fondo de una impresionante cañada con leyendas de oro escondido. Una hipótesis manejada sobre el origen de estas ruinas, es que este monumento podría haberse construido en un periodo preincaico y posiblemente fueron utilizados y reforzados por los incas.",https://labtecnosocial.org/cocha-turismo/Sacambaya.jpg
Tapacarí,Sitios naturales,Tallija,"-17.534908, -66.735983",tallija.jpg,"Por la factura en la ejecución del arte rupestre en los diferentes sitios documentados, se considera que la comunidad de Tallija, usó el Arte Rupestre como un medio de documentación cronológica, plasmando en los diferentes paneles, sucesos de su cotidiano vivir, representados en diferentes periodos.",https://labtecnosocial.org/cocha-turismo/tallija.jpg
Quillacollo,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Templo de San Ildefonso,"-17.398240, -66.281622",Templo_de_San_Ildefonso.JPG,"El establecimiento de la Doctrina o Curato de San Ildefonso de Quillacollo se instituyó entre los años 1585 y 1600. Sus curatos dieron origen a las poblaciones coloniales, que desde entonces celebraban con fastuosidad y solemnidad la Festividad Patronal de la Virgen de la Asunción, en advocación de Urkupiña.",https://labtecnosocial.org/cocha-turismo/Templo_de_San_Ildefonso.JPG
Villa Tunari,Sitios naturales,"Territorio Indígena Parque Nacional
Isiboro Sécure TIPNIS","-16.407312, -66.047298",tipnis.jpg,"Territorio Indígena Parque Nacional Isiboro Sécure (TIPNIS) está ubicado entre los departamentos del Beni (Provincia Moxos) y de Cochabamba (Provincia Chapare). Están registradas 402 especies de flora y se estima la existencia de 3.000 especies de plantas superiores. La extraordinaria diversidad florística incluye especies como el aliso, el pino de monte, el nogal y el tajibo, etc. La fauna es igualmente muy diversificada registrándose a la fecha 714 especies. Entre éstas destacan: el pejichi, el marimono, el manechi, la londra, el jaguar, el ciervo de los pantanos, la harpía, el pato negro, aves endémicas y el caimán negro.",https://labtecnosocial.org/cocha-turismo/tipnis.jpg
Vinto,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Villa Albina-Casona de Simón I. Patiño,"-17,3606122, -66,3244830",casa_albina_p.jpeg,"Fue mandada construir, entre 1925 y 1932, por Don Simón I. Patiño para su esposa Albina Rodríguez de Patiño. La historia cuenta que un tiempo antes de construirla, los esposos Patiño realizaron un viaje de vacaciones a Vinto y en un Carnaval fueron invitados a pasar un día de campo bajo un huerto de olivos. Doña Albina quedó fascinada por el lugar, por lo que Don Simón ofreció comprarle algún día una casa de campo en la zona, para pasar sus vacaciones.",https://labtecnosocial.org/cocha-turismo/casa_albina_p.jpeg
Tiquipaya,"Patrimonio urbano, arquitectónico, artístico, museos y manifestaciones culturales",Yunga Pampa,"-16.943418, -66.263614",yunga_pampa.jpg,"El bosque nublado de la reserva en Yunga Pampa alberga una gran diversidad de fauna silvestre. Allá se pueden encontrar loros, monos, chanchos de monte y osos andinos o jukumaris, que son la mayor atracción para el turismo y la investigación científica. Otra especie del lugar es el venado andino, en riesgo de extinción. La vegetación es abundante todo el año y está compuesta de plantas de laurel, cedro, quina, bambú, pacay silvestre, orquídeas, helechos, dromelias y hierbas medicinales.",https://labtecnosocial.org/cocha-turismo/yunga_pampa.jpg
